,City,Lat,Lon,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date
0,Butaritari,3.07,172.79,81.05,72,100,10.67,KI,1604783336
1,Bluff,-46.6,168.33,51.01,55,2,11.01,NZ,1604783069
2,Belogorsk,50.92,128.46,22.01,97,93,10.45,RU,1604783336
3,Bethel,41.37,-73.41,73.4,35,1,5.82,US,1604783279
4,Hermanus,-34.42,19.23,62.01,76,0,8.01,ZA,1604783337
5,Ushuaia,-54.8,-68.3,60.8,41,75,12.75,AR,1604783050
6,Yerbogachën,61.28,108.01,4.66,93,100,5.75,RU,1604783075
7,Lavrentiya,65.58,-171.0,28.69,96,53,10.0,RU,1604783337
8,Chui,-33.7,-53.46,65.88,78,12,10.6,UY,1604783245
9,Nikolskoye,59.7,30.79,48.2,87,90,15.66,RU,1604783070
10,Songea,-10.68,35.65,69.8,73,5,4.7,TZ,1604783338
11,Rikitea,-23.12,-134.97,71.46,72,42,16.82,PF,1604783338
12,Vila Velha,-20.33,-40.29,77.0,78,75,6.93,BR,1604783338
13,Saint-Philippe,-21.36,55.77,71.6,78,0,6.93,RE,1604783208
14,Tarakan,3.3,117.63,77.88,83,100,11.9,ID,1604783338
15,Dāmghān,36.17,54.35,57.36,35,79,4.43,IR,1604783339
16,Lala,7.97,123.75,73.56,91,100,2.39,PH,1604783339
17,Kapaa,22.08,-159.32,82.4,78,40,13.87,US,1604783339
18,Abadan,38.05,58.21,57.2,58,75,2.24,TM,1604783339
19,Nefteyugansk,61.1,72.6,32.0,97,75,6.71,RU,1604783101
20,Grand Gaube,-20.01,57.66,71.01,76,26,3.0,MU,1604783340
21,Lompoc,34.64,-120.46,57.2,71,75,18.34,US,1604783340
22,Bandiagara,14.35,-3.61,80.91,15,0,8.5,ML,1604783340
23,Hamilton,39.18,-84.53,73.4,33,1,9.17,US,1604783201
24,Hakkâri Province,37.58,44.17,39.52,79,33,1.05,TR,1604783341
25,Victoria Point,-27.58,153.3,69.01,74,45,10.0,AU,1604783341
26,Alibunar,45.08,20.97,37.4,93,80,1.12,RS,1604783341
27,Saskylakh,71.92,114.08,-8.66,89,3,7.34,RU,1604783044
28,Narsaq,60.92,-46.05,28.4,74,75,3.36,GL,1604783166
29,Lebu,-37.62,-73.65,55.99,63,0,23.24,CL,1604783167
30,Rio Grande,-32.03,-52.1,71.6,73,75,18.34,BR,1604783342
31,Juba,4.85,31.58,77.5,76,100,3.91,SS,1604783342
32,Provincia di Savona,44.3,8.27,59.0,99,91,3.87,IT,1604783342
33,Zhezkazgan,47.8,67.71,50.45,38,82,14.85,KZ,1604783342
34,Cayenne,4.93,-52.33,78.8,100,40,1.12,GF,1604783113
35,Geraldton,-28.77,114.6,68.0,77,90,6.93,AU,1604783343
36,Mar del Plata,-38.0,-57.56,71.6,60,0,3.36,AR,1604783049
37,Bereda,43.27,-7.54,60.01,100,12,4.5,ES,1604783106
38,Kavaratti,10.57,72.64,82.98,75,0,7.96,IN,1604783343
39,Qaanaaq,77.48,-69.36,-13.31,71,0,8.39,GL,1604783056
40,Linares,-35.85,-71.6,83.55,34,0,7.74,CL,1604783344
41,Hay River,60.82,-115.8,6.8,77,79,3.36,CA,1604783344
42,Saint George,37.1,-113.58,60.01,22,75,20.8,US,1604783168
43,Bandarbeyla,9.49,50.81,76.21,85,66,14.47,SO,1604783292
44,Hithadhoo,-0.6,73.08,82.87,74,89,9.75,MV,1604783345
45,Puerto Ayora,-0.74,-90.35,78.8,65,20,23.04,EC,1604783345
46,Arraial do Cabo,-22.97,-42.03,75.2,69,75,6.93,BR,1604783345
47,East London,-33.02,27.91,69.37,81,0,10.92,ZA,1604783345
48,Yanam,16.73,82.22,76.26,80,0,5.12,IN,1604783346
49,Vaini,-21.2,-175.2,78.8,74,20,6.93,TO,1604783346
50,Quatre Cocos,-20.21,57.76,73.4,78,40,6.93,MU,1604783346
51,Khatanga,71.97,102.5,-4.34,87,9,12.75,RU,1604783052
52,Vila Franca do Campo,37.72,-25.43,59.0,77,20,4.7,PT,1604783346
53,Innisfail,-17.53,146.03,78.17,76,22,4.94,AU,1604783347
54,Oranjestad,12.52,-70.03,86.0,70,40,9.17,AW,1604783331
55,Port Elizabeth,-33.92,25.57,64.4,93,1,8.05,ZA,1604783347
56,Yellowknife,62.46,-114.35,12.2,85,90,5.82,CA,1604783056
57,Chicama,-7.84,-79.15,68.0,72,15,9.17,PE,1604783211
58,Busselton,-33.65,115.33,55.0,66,50,3.2,AU,1604783155
59,Kahului,20.89,-156.47,84.2,62,40,19.46,US,1604783190
60,Beringovskiy,63.05,179.32,28.6,89,34,7.65,RU,1604783304
61,Port-Gentil,-0.72,8.78,78.8,94,75,11.41,GA,1604783348
62,Leichlingen,51.12,7.02,52.0,53,26,6.67,DE,1604783349
63,Jamestown,42.1,-79.24,68.0,34,1,5.82,US,1604783058
64,São José da Coroa Grande,-8.9,-35.15,78.3,82,22,11.81,BR,1604783220
65,Sisimiut,66.94,-53.67,15.49,85,99,14.76,GL,1604783286
66,Hilo,19.73,-155.09,80.6,69,90,6.93,US,1604783349
67,Lodja,-3.48,23.43,69.89,89,74,0.87,CD,1604783350
68,Atuona,-9.8,-139.03,77.86,70,66,13.4,PF,1604783155
69,Port Lincoln,-34.73,135.87,60.22,71,29,16.11,AU,1604783086
70,Zhuhai,22.28,113.57,78.8,65,20,20.8,CN,1604783103
71,Klaksvík,62.23,-6.59,41.0,86,85,2.24,FO,1604783089
72,São João da Barra,-21.64,-41.05,77.0,65,75,11.41,BR,1604783351
73,Touros,-5.2,-35.46,82.4,74,40,12.75,BR,1604783208
74,Shahrud,36.42,54.98,52.93,41,92,1.1,IR,1604783351
75,Balkanabat,39.51,54.37,56.91,76,100,6.08,TM,1604783351
76,Avarua,-21.21,-159.78,77.0,78,98,5.82,CK,1604783352
77,Mataura,-46.19,168.86,51.01,55,65,11.01,NZ,1604783352
78,Sinnamary,5.38,-52.95,81.25,78,46,14.74,GF,1604783352
79,Cabo San Lucas,22.89,-109.91,84.0,65,40,10.29,MX,1604783352
80,Albany,42.6,-73.97,69.8,43,75,5.82,US,1604783160
81,Zhuangyuan,37.3,120.83,48.0,63,0,7.05,CN,1604783353
82,Green Valley,31.85,-110.99,80.6,28,75,25.28,US,1604783353
83,Verrettes,19.05,-72.47,78.62,79,99,0.96,HT,1604783353
84,Sørland,67.67,12.69,39.87,71,100,15.28,NO,1604783353
85,Cape Town,-33.93,18.42,62.01,82,75,18.34,ZA,1604783347
86,Manyana,-23.4,21.72,85.87,14,0,5.84,BW,1604783354
87,Faya,18.39,42.45,62.6,63,0,1.86,SA,1604783354
88,Tuktoyaktuk,69.45,-133.04,26.6,79,75,21.92,CA,1604783158
89,Bredasdorp,-34.53,20.04,62.6,51,0,14.99,ZA,1604783354
90,Barrow,71.29,-156.79,30.2,92,90,26.4,US,1604783278
91,Evensk,61.95,159.23,12.7,90,92,9.86,RU,1604783355
92,Buin,-33.73,-70.75,87.8,19,0,9.17,CL,1604783355
93,Muramvya,-3.27,29.61,58.03,91,69,0.65,BI,1604783355
94,Alcázar de San Juan,39.39,-3.21,51.01,85,0,7.76,ES,1604783087
95,Kavieng,-2.57,150.8,83.16,68,44,7.52,PG,1604783355
96,Mahébourg,-20.41,57.7,73.4,78,40,6.93,MU,1604783075
97,Maralal,1.1,36.7,60.94,87,98,9.75,KE,1604783356
98,Provideniya,64.38,-173.3,28.27,93,12,5.35,RU,1604783069
99,Montego Bay,18.47,-77.92,78.8,94,90,3.36,JM,1604783356
